ANID;SITE;MUNICIPALITY;REGION;UE;CHRONOLOGY;TYPOLOGY;TYPOLOGY.2;FORM;GROUP;FAMILY;PROJECT;Cronologia_desde;Cronologia_hasta;Al;As;Ba;Ca;Ce;Co;Cr;Cs;Dy;Eu;Fe;Hf;K;La;Lu;Mn;Nd;Na;Rb;Sb;Sc;Sm;Sr;Ta;Tb;Th;Ti;U;V;Yb;Zn;Zr
DUR002;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Non assigned;Bowl;DUR;Household?;PhD;1900;1960;102056.6;11.1;499.5;94059.9;75.3;63.6;79.4;15.9;5;1.1;35330.4;4.9;28255.2;39.5;0.3;533.6;31.7;4378.2;191.5;1.2;14.2;6.3;248.1;1.8;0.8;13.5;3727;3.2;98.4;2.7;84.2;160.3
DUR005;Durango;Durango;The Basque Country;NA;1900-1960;Uncoated;Micaceous;Bowl;MIC_DUR;Household?;PhD;1900;1960;117004.8;2.5;141.4;36135.8;28.6;94.3;14;60;4.6;0.5;12812.8;4.2;22028.9;12.9;0.2;309.3;14.6;1868.8;457.2;0.5;4.7;3.4;116;7.7;0.6;5.2;1083.6;6.3;15;2.2;69.6;102.1
DUR006;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Micaceous;Plate;OUT_DUR;Tableware;PhD;1900;1960;74908;19.1;248.9;168394.6;54.8;46.4;66.2;5.2;3.3;0.9;21379.4;3.1;11535.9;27.9;0.2;223.5;23.1;1625;68.1;1.4;10.3;5;369;1.1;0.5;9.4;2601.3;2.9;86.7;2.1;56.8;70
DUR008;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Micaceous;Bowl;MIC_DUR;Household?;PhD;1900;1960;142309.8;26.4;225.6;9257.3;26.9;155;64.5;37.9;6.2;0.7;25526.2;3.4;28203.5;13.9;0.4;243;14.2;3020.2;520.8;0.9;6.1;4.3;98.1;10.9;1;5.1;970;10.6;29.5;3;80.9;105.9
DUR010;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Non assigned;Lid;OUT;Household;PhD;1900;1960;89781.3;9.3;421;53664.7;78.9;92.4;72.4;12.3;5.2;1.2;34227.4;7.5;25980.4;40.4;0.4;426.6;34.2;5414.2;161.4;1.4;12.7;6.6;201.8;2;1;13.6;4652.6;3.3;73.5;3.2;80.4;193.3
DUR011;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Micaceous;Bowl;MIC_DUR;Household?;PhD;1900;1960;144784.9;18.8;245.9;8123.1;27.6;91.5;20.7;38.9;6.1;0.7;25867.5;3.6;26712.9;13.8;0.4;276.2;14.4;2566.9;527.7;1;5.9;4.5;108.1;11;1;5.2;792.4;12.4;24.2;3.4;78.3;104.4
DUR013;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Non assigned;Bowl;"DUR";Household;PhD;1900;1960;104182.7;11.3;467.2;67736.5;77.9;101.3;85.2;16.2;5;1.1;36440.7;5.8;29050.2;40.4;0.3;517.3;33.7;4514.9;194.7;3.7;14.8;6.3;174.1;1.9;0.8;14.4;4437.7;3.4;96.6;2.8;89.3;148.2
DUR016;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Micaceous;Lebrillo;MIC_DUR;Household?;PhD;1900;1960;126196;31.4;181.6;8779.5;23.7;105.9;17.3;36;6.5;0.6;23510.2;3.3;25266.5;11.5;0.6;262.1;12.8;1811.1;464.2;0.9;5.1;3.9;91.1;11.1;0.9;4.4;813.5;11.9;18.8;3.2;61.1;115.7
DUR020;Durango;Durango;The Basque Country;NA;1900-1960;Uncoated;Non assigned;Kiln Utensil;DUR;Kiln Utensil;PhD;1900;1960;89873.4;9.1;363.9;99036.2;70.5;87.2;73.2;13.3;4.6;1;31422.2;5.9;25393;37.1;0.3;720.5;29.4;5042.8;179;1.5;12.5;5.8;320.2;1.8;0.7;12.8;4161.9;2.9;77.9;2.6;73.9;135.3
DUR024;Durango;Durango;The Basque Country;NA;1900-1960;Tin lead glazed ;Non assigned;Bowl;DUR;Household;PhD;1900;1960;88353.7;12.2;448.6;85489.4;73.6;68.3;64.8;12;4.5;1.1;32229.9;6.4;24703.6;37.9;0.3;512.8;30.3;4006.5;159.4;1.3;12.5;5.9;210.6;1.9;1;13.1;4226.9;2.8;90.4;2.8;76.7;167.1
